index,threshold,value,highlight_ratio
average_precision,,0.25200736399266777,preds_labels_comedy_20_perc
accuracy_top5,0.541630208492279,0.35555555555555557,preds_labels_comedy_20_perc
f1_top5,0.541630208492279,0.5245901639344263,preds_labels_comedy_20_perc
kappa_top5,0.541630208492279,0.0,preds_labels_comedy_20_perc
precision_top5,0.541630208492279,0.35555555555555557,preds_labels_comedy_20_perc
recall_top5,0.541630208492279,1.0,preds_labels_comedy_20_perc
roc_auc_top5,,0.5086206896551724,preds_labels_comedy_20_perc
average_precision_top5,,0.44849386599277474,preds_labels_comedy_20_perc
f1,0.031228855252265004,0.38765254845656855,preds_labels_comedy_25_perc
accuracy,0.8128229379653931,0.7604444444444445,preds_labels_comedy_25_perc
precision,0.8684837222099301,0.6666666666666666,preds_labels_comedy_25_perc
recall,0.021449998021125002,1.0,preds_labels_comedy_25_perc
kappa,0.309543579816818,0.10181557450513434,preds_labels_comedy_25_perc
roc_auc,,0.5502823803335499,preds_labels_comedy_25_perc
average_precision,,0.28622002979132094,preds_labels_comedy_25_perc
accuracy_top5,0.497205823659896,0.4666666666666667,preds_labels_comedy_25_perc
f1_top5,0.497205823659896,0.6363636363636364,preds_labels_comedy_25_perc
kappa_top5,0.497205823659896,0.0,preds_labels_comedy_25_perc
precision_top5,0.497205823659896,0.4666666666666667,preds_labels_comedy_25_perc
recall_top5,0.497205823659896,1.0,preds_labels_comedy_25_perc
roc_auc_top5,,0.5773809523809523,preds_labels_comedy_25_perc
average_precision_top5,,0.5511317313747067,preds_labels_comedy_25_perc
f1,0.059869516640901004,0.1303370786516854,preds_labels_comedy_2_5_std
accuracy,0.13200271129608102,0.9633333333333334,preds_labels_comedy_2_5_std
precision,0.13200271129608102,0.5,preds_labels_comedy_2_5_std
recall,0.007818285375833001,1.0,preds_labels_comedy_2_5_std
kappa,0.07012945413589401,0.0927745976887353,preds_labels_comedy_2_5_std
roc_auc,,0.6565754430114291,preds_labels_comedy_2_5_std
average_precision,,0.07553627294401868,preds_labels_comedy_2_5_std
accuracy_top5,0.06470950692892001,0.1111111111111111,preds_labels_comedy_2_5_std
f1_top5,0.06470950692892001,0.2,preds_labels_comedy_2_5_std
kappa_top5,0.06470950692892001,0.0,preds_labels_comedy_2_5_std
precision_top5,0.06470950692892001,0.1111111111111111,preds_labels_comedy_2_5_std
